,SKU,0
2667,JNE3680-TU-M,190.0
2478,JNE3639-TP-XXL,190.0
3950,SET236-KR-PP-L,190.0
1507,JNE2014-KR-178-XXXL,189.75
1609,JNE3030-KR-S,189.0
1608,JNE3030-KR-M,189.0
2182,JNE3556-KR-XXL,189.0
657,J0123-TP-S,189.0
1612,JNE3030-KR-XXXL,189.0
463,J0081-DR-XXL,188.8099999999995
459,J0081-DR-M,188.8099999999995
778,J0148-SET-XXXL,188.78999999999996
772,J0148-SET-L,188.78999999999996
2181,JNE3556-KR-XL,188.5
775,J0148-SET-XL,188.44000000000005
3526,SAR033,186.0
407,J0035-KR-XXL,186.0
1793,JNE3396-KR-XL,185.5
1824,JNE3405-KR-XXL,185.25
1795,JNE3396-KR-XXL,185.25
1790,JNE3396-KR-L,185.25
352,J0014-LCD-M,185.0
354,J0014-LCD-XL,184.0
353,J0014-LCD-S,184.0
2670,JNE3680-TU-XXL,184.0
357,J0014-LCD-XXXL,184.0
356,J0014-LCD-XXL,184.0
4071,SET262-KR-NP-S,183.85000000000036
4072,SET262-KR-NP-XL,183.75
1825,JNE3405-KR-XXXL,183.75
351,J0014-LCD-L,183.5
890,J0178-TP-M,183.0
2239,JNE3567-KR-S,182.5
4070,SET262-KR-NP-M,182.5
2080,JNE3522-KR-XL,182.0
2835,JNE3722-KR-S,181.25
633,J0119-TP-XL,181.0
4485,SET373-KR-PP-S,180.0
4484,SET373-KR-PP-M,180.0
3729,SET182-KR-DH-S,180.0
4483,SET373-KR-PP-L,180.0
4488,SET373-KR-PP-XXL,180.0
958,J0194-DR-XL,179.0
959,J0194-DR-XXL,179.0
3803,SET198-KR-NP-M,177.5
3805,SET198-KR-NP-XL,177.25
3804,SET198-KR-NP-S,177.25
3078,JNE3793-KR-L,177.0
3081,JNE3793-KR-XL,177.0
3079,JNE3793-KR-M,177.0
3080,JNE3793-KR-S,177.0
1172,J0247-SKD-M,177.0
2602,JNE3669-TU-L,176.85000000000036
4014,SET248-KR-NP-L,176.0
4015,SET248-KR-NP-M,176.0
4017,SET248-KR-NP-XL,176.0
4016,SET248-KR-NP-S,176.0
420,J0041-SET-XXL,175.60000000000036
418,J0041-SET-XL,175.60000000000036
4238,SET300-KR-NP-XS,175.5
4192,SET287-KR-NP-XL,175.25
4191,SET287-KR-NP-S,175.25
4039,SET252-KR-PP-L,174.5
623,J0118-TP-L,174.1900000000005
979,J0197-TP-XS,174.0
4041,SET252-KR-PP-S.,173.75
4079,SET264-KR-NP-L,173.75
4085,SET264-KR-NP-XXXL,173.75
4081,SET264-KR-NP-S,173.25
2519,JNE3651-TP-L,173.19999999999982
4042,SET252-KR-PP-XL.,173.0
2179,JNE3556-KR-M,172.5
1004,J0202-TP-XXL,171.5
4006,SET246-KR-PP-S,171.25
4004,SET246-KR-PP-L,171.25
4005,SET246-KR-PP-M,171.25
4007,SET246-KR-PP-XL,171.25
3066,JNE3790-KR-S,171.0
2796,JNE3716-KR-L,170.75
4040,SET252-KR-PP-M.,170.75
2671,JNE3683-TU-L,169.5
1643,JNE3252-KR-XL,169.0
1729,JNE3366-KR-1053-S,169.0
2177,JNE3555-KR-XXXL,167.0
2405,JNE3622-KR-M,167.0
2735,JNE3701-KR-S,167.0
3799,SET197-KR-NP-XS,166.75
3800,SET197-KR-NP-XXL,166.75
2404,JNE3622-KR-L,166.0
4430,SET347-KR-NP-XXL,166.0
4429,SET347-KR-NP-XS,166.0
2407,JNE3622-KR-XL,166.0
4431,SET347-KR-NP-XXXL,166.0
4428,SET347-KR-NP-XL,166.0
4425,SET347-KR-NP-L,166.0
4427,SET347-KR-NP-S,166.0
4426,SET347-KR-NP-M,166.0
4106,SET268-KR-NP-XL,165.84999999999854
4105,SET268-KR-NP-S,165.34999999999854
4103,SET268-KR-NP-L,165.34999999999854
816,J0158-DR-XXL,165.30999999999995
2284,JNE3576-KR-S,165.25
2138,JNE3547-KR-L,165.0
1336,J0335-DR-L,165.0
1337,J0335-DR-M,165.0
1339,J0335-DR-XL,165.0
326,J0009-SKD-L,164.9400000000005
2211,JNE3562-KR-XL,164.5
2210,JNE3562-KR-S,164.5
2208,JNE3562-KR-L,164.5
2579,JNE3665-TP-L,164.5
3736,SET183-KR-DH-S,164.25
484,J0086-DR-XL,164.25
3739,SET183-KR-DH-XXL,164.25
3740,SET183-KR-DH-XXXL,164.25
2677,JNE3683-TU-XXXL,164.25
2676,JNE3683-TU-XXL,164.25
486,J0086-DR-XXL,164.25
1148,J0242-SKD-XS,164.0
482,J0086-DR-M,164.0
328,J0009-SKD-S,163.94000000000005
3620,SET083-KR-PP-M,163.75
802,J0154-DR-XL,162.69000000000005
1796,JNE3396-KR-XXXL,162.25
1792,JNE3396-KR-S,162.25
1791,JNE3396-KR-M,162.25
1199,J0254-SKD-XXL,162.0
1198,J0254-SKD-L,162.0
4352,SET328-KR-NP-XXL,162.0
3766,SET188-KR-NP-XXL,160.75
3764,SET188-KR-NP-S,160.5
3894,SET225-KR-NP-XXL,160.0
3892,SET225-KR-NP-XL,160.0
3890,SET225-KR-NP-M,160.0
1460,J0398-DR-XXL,160.0
3467,PJNE2014-KR-6XL,160.0
3743,SET184-KR-PP-S,160.0
522,J0094-KR-M,160.0
3889,SET225-KR-NP-L,159.85000000000036
3718,SET171-KR-NP-XS,159.75
2543,JNE3656-TP-XXL,159.75
2521,JNE3651-TP-S,159.5
2596,JNE3668-TP-L,159.5
3741,SET184-KR-PP-L,159.0
3742,SET184-KR-PP-M,159.0
3744,SET184-KR-PP-XL,159.0
2701,JNE3688-TU-S,158.5
842,J0166-DR-XS,158.0
103,BTM003-XXL,158.0
3724,SET172-KR-PP-XL,157.5
156,BTM031-NP-XXXL,157.05999999999995
97,BTM002-XXL,157.0599999999995
4183,SET286-KR-NP-L,157.0
2159,JNE3553-KR-L,157.0
4097,SET267-KR-NP-L,157.0
2216,JNE3563-KR-XL,156.75
1655,JNE3256-KR-XL,156.60000000000036
4100,SET267-KR-NP-XL,156.25
4098,SET267-KR-NP-M,156.25
789,J0152-DR-XS,156.0
3726,SET172-KR-PP-XXXL,156.0
3911,SET228-KR-PP-XL,156.0
1657,JNE3256-KR-XXL,155.0
3263,MEN5009-KR-M,155.0
3265,MEN5009-KR-XL,155.0
3266,MEN5009-KR-XXL,155.0
1652,JNE3256-KR-L,154.85000000000036
3262,MEN5009-KR-L,154.5599999999995
3791,SET196-KR-NP-S,154.0
1627,JNE3160-KR-M,153.5
2295,JNE3578-KR-L,153.25
2299,JNE3578-KR-XXL,153.25
2298,JNE3578-KR-XL,153.25
2297,JNE3578-KR-S,153.25
1501,JNE2014-KR-178-L,152.5
1611,JNE3030-KR-XXL,152.0
1610,JNE3030-KR-XL,152.0
1607,JNE3030-KR-L,151.85000000000036
1502,JNE2014-KR-178-M,151.75
4139,SET275-KR-NP-L,151.75
1504,JNE2014-KR-178-XL,151.75
4143,SET275-KR-NP-XXL,151.5
4141,SET275-KR-NP-S,151.5
4047,SET253-KR-NP-M,151.5
655,J0123-TP-L,151.0
4061,SET258-KR-PP-XL,150.75
2377,JNE3616-KR-XXL,150.25
